id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098503,Evidence,ev_biochem_004114_93a83c83b4,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098504,Evidence,ev_biochem_004115_9045401fd5,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098505,Evidence,ev_biochem_004115_9045401fd5,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098506,Evidence,ev_biochem_004116_91d9d5df7c,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098507,Evidence,ev_biochem_004116_91d9d5df7c,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098508,Evidence,ev_biochem_004117_a80d68f620,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098509,Evidence,ev_biochem_004117_a80d68f620,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098510,Evidence,ev_biochem_004117_a80d68f620,MENTIONS_TOPIC,Topic,topic_liver_injury,0.8,kb_pdf
edge_0098511,Evidence,ev_biochem_004117_a80d68f620,SUPPORTS,Condition,cond_hepatocellular_injury,0.75,kb_pdf
edge_0098512,Evidence,ev_biochem_004117_a80d68f620,SUPPORTS,Condition,cond_liver_injury,0.75,kb_pdf
edge_0098513,Evidence,ev_biochem_004118_f4fb012163,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098514,Evidence,ev_biochem_004118_f4fb012163,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098515,Evidence,ev_biochem_004118_f4fb012163,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098516,Evidence,ev_biochem_004118_f4fb012163,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098517,Evidence,ev_biochem_004118_f4fb012163,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098518,Evidence,ev_biochem_004119_028b47bdd5,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098519,Evidence,ev_biochem_004119_028b47bdd5,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098520,Evidence,ev_biochem_004120_56f0344e31,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098521,Evidence,ev_biochem_004120_56f0344e31,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
